Country,Ladder Score Rank,Social Support Rank,Seat held in Parliament by Women,Female Enrollment in secondary education (%),"Literacy rate, adult (% ages 15 and older)",Natural resource depletion (% of GNI),Life expectancy at birth,Gross domestic product (GDP) per capita (2011 PPP $),Inequality in income (%),"Suicide rate, female (per 100,000 people)","Suicide rate, male (per 100,000 people)","Mortality Rate (Per 100,000 live births)",Adolescent birth rate (per 1000)
Iceland,4,1,38.0952381,0,,0,82.9,48606,11.7,4.7,21.7,4,6
Turkmenistan,82,2,24.8,0,99.7,,68.1,17129,26.8,3.7,11,7,
Denmark,2,3,37.4301676,0,,0.4,80.8,47673,11.4,5.2,13.2,4,2.8
Finland,1,4,42,0,,0.1,81.7,41899,10.4,6.8,20.8,3,4.9
Norway,5,5,41.42011834,0,,4.4,82.3,65441,12.7,6.5,13.6,2,2.9
New Zealand,8,6,38.33333333,0,,0.5,82.1,36355,16.4,6.2,17.3,9,14.9
Australia,12,7,28.66666667,0,,3,83.3,45439,17.3,6,17.4,6,10.1
Switzerland,3,8,32.5,0,,0,83.6,59019,14.5,6.9,15.8,5,2.4
Ireland,16,9,22.15189873,0,,0.1,82.1,70361,15,4.2,17.6,5,7.2
Slovenia,31,10,24.44444444,0,99.7,0,81.2,32743,9.1,4.5,22.4,7,4.1
Netherlands,6,11,36,0,,0.3,82.1,49804,12.1,6.4,12.9,5,2.9
Bulgaria,83,12,23.75,0,,0.7,74.9,19321,23.9,3.2,13.1,10,38.2
Mongolia,72,13,17.10526316,0,,22.8,69.7,12209,15.7,3.8,23.3,45,30.1
France,22,14,39.58333333,0,,0,82.5,39556,14.4,6.5,17.9,8,8
United Kingdom,13,15,32.15384615,0,,0.4,81.2,40158,17,3.5,11.9,,
Kazakhstan,47,16,27.10280374,48.93286,,8.7,73.2,24738,10.3,7.7,40.1,10,24.9
Estonia,48,17,26.73267327,0,,0.2,78.6,30991,15.5,4.4,25.6,9,10.5
Malta,21,18,11.94029851,0,,,82.4,38147,12.5,2.8,10.3,6,12.5
Austria,9,19,34.42622951,0,,0.1,81.4,46473,15.9,5.7,17.5,5,6.7
Canada,11,20,26.94610778,0,,0.7,82.3,44051,18.2,5.8,15.1,10,7.7
Uzbekistan,35,21,16,0,100,9.4,71.6,6240,,4.6,10.3,29,18.9
Sweden,7,22,46.13180516,0,,0.2,82.7,47194,13,7.4,15.8,4,4.6
Lithuania,38,23,21.27659574,0,,,75.7,31065,21.8,6.7,47.5,8,12.6
Uruguay,24,24,20.2020202,0,98.4,1.2,77.8,20916,22,7.1,26.8,17,41.6
Slovakia,34,25,,,,0,77.4,31326,11.7,2.6,18.4,5,26.8
Hungary,50,26,12.56281407,0,99.1,0.2,76.7,28243,16.1,6.2,22.2,12,22.9
Spain,26,27,39.14285714,0,98.1,0,83.4,35056,21.9,3.1,9.3,4,7.1
Latvia,54,28,31,0,,0,75.2,26437,18.5,5.1,31,19,16.1
Jamaica,57,29,17.46031746,49.71555,88.1,0.3,74.4,8266,32,0.9,3.2,80,51.7
Trinidad and Tobago,39,30,30.95238095,0,,6.9,73.4,28647,,4.3,21.9,67,
United States,18,31,23.50230415,0,,0.2,78.9,55681,26.6,6.4,21.1,,
Israel,14,32,27.5,0,,0.1,82.8,33661,23.7,2.4,8.2,3,9.9
Maldives,76,33,5.882352941,0,98.6,0,78.6,13611,25.8,1.6,3.6,53,8.9
Belgium,19,34,38,0,,0,81.5,43218,11.4,9.4,22.2,5,5.9
Mauritius,46,35,11.5942029,50.41822,92.5,0,74.9,21075,18.2,2.2,12.5,61,23.8
Singapore,29,36,23,0,96.7,0,83.5,90091,25,4.9,11.1,8,2.6
Luxembourg,10,37,20,0,,0,82.1,93734,16.6,5.8,15,5,4
Belarus,68,38,34.54545455,48.29377,,0.6,74.6,17742,10.8,6.2,39.3,2,14.2
Panama,33,39,18.30985915,0,,0.1,78.3,22674,36.5,1.2,7.6,52,75.9
Costa Rica,15,40,45.61403509,50.68349,,0.3,80.1,15685,32.2,2.3,12.8,27,52.5
Argentina,52,41,38.91050584,0,99,1,76.5,18282,25.8,3.5,15,39,54.4
Germany,17,42,30.74753173,0,,0,81.2,45959,17.7,4.8,13.6,7,7.8
Paraguay,62,43,15,0,94.6,1.6,74.1,12063,34,6.2,12.3,84,
Brazil,30,44,15.00974659,0,91.7,1.9,75.7,14283,36.7,2.8,9.7,60,52.7
Thailand,51,45,5.284552846,48.19721,,1.6,76.9,16905,23.8,4.8,21.4,37,37.8
Italy,28,46,35.71428571,0,,0,83.4,35739,21.3,2.6,8.4,2,4.4
Kyrgyzstan,67,47,,,,6.3,71.3,3447,12.2,3.7,14.8,60,33.9
Portugal,56,48,34.7826087,0,,0.1,81.9,28687,18.1,3.8,14.3,8,8
Colombia,41,49,18.12865497,50.22036,94.2,3.4,77.1,13333,36.2,2.8,11.5,83,61
Japan,58,50,10.10752688,0,,0,84.5,39294,6.3,8.1,20.5,5,3.4
Dominican Republic,63,51,26.84210526,51.26201,91.8,1.6,73.9,15821,28.1,3.2,17.9,95,51
Serbia,60,52,34.4,48.84442,,0.4,75.8,16035,19.7,5.2,17.3,12,15.2
Chile,36,53,22.58064516,0,,6.5,80,22874,32.7,3.8,16,13,26.4
Ukraine,107,54,12.29314421,48.657,,1,72,7907,8.5,4.7,34.5,19,19.1
Bahrain,37,55,15,48.80536,,3.2,77.2,41973,,2.1,7.9,14,13.6
Croatia,70,56,18.54304636,0,,0.3,78.3,23637,15.2,5.1,18.8,8,9.1
Poland,40,57,28.04347826,0,,0.4,78.5,28752,14.4,3.4,23.9,2,11.1
Saudi Arabia,25,58,19.86754967,47.58781,,7.9,75,48996,,1.7,4.6,17,
Nicaragua,43,59,45.65217391,0,,2.9,74.3,4910,29.2,5,19.2,98,
Montenegro,66,60,23.45679012,48.03013,,0.5,76.8,17278,14.6,3.6,12.6,6,10.3
South Africa,94,61,42.7480916,0,94.1,2.7,63.9,12143,57.7,5.1,21.7,119,40.9
United Arab Emirates,20,62,22.5,0,,4,77.8,66616,,0.8,3.5,3,5.4
Namibia,106,63,46.15384615,0,,2.6,63.4,9898,53.6,4.9,19.4,195,
Philippines,49,64,29.45205479,0,,0.7,71.1,7943,28.1,2.3,5.2,121,39
Kuwait,45,65,3.076923077,0,,8.1,75.4,65515,,1.7,2.5,12,6.3
Mexico,23,66,48.2,0,94.6,2.2,75,18102,36.3,2.3,8.2,33,70.6
Ecuador,55,67,37.95620438,49.67034,94.2,2.9,76.8,10412,30.5,3.8,10.7,59,71.1
Tajikistan,65,68,19.04761905,0,99.8,3.5,70.9,3061,14.5,1.7,5,17,
Peru,59,69,27.69230769,48.8549,93.7,5.5,76.5,12794,28.3,2.7,7.6,88,44
Bosnia and Herzegovina,64,70,21.42857143,49.39487,,0.4,77.3,12756,20.2,2.5,10.6,10,
Turkey,80,71,17.44966443,0,95.4,0.2,77.4,25287,22.6,3.2,11.3,17,20.9
Libya,71,72,15.95744681,0,,6.7,72.7,18406,,2.3,8.7,72,
Sri Lanka,113,73,5.777777778,51.11506,,0.1,76.8,11956,21,6.2,23.3,36,
Romania,44,74,20.66869301,0,,0.5,75.9,24544,20.7,2.4,13.9,19,38.1
Lebanon,96,75,4.6875,51.19602,,0,78.9,11607,,2.2,4.2,29,
Honduras,53,76,21.09375,0,87.2,1.6,75.1,4560,34.9,1.7,5.3,65,
Azerbaijan,77,77,16.8,46.73612,99.8,13.4,72.9,16011,8.9,1,4.3,26,45
Yemen,127,78,,,,0.2,66.1,2285,21.8,6.2,13.4,164,
Guatemala,27,79,12.65822785,47.83371,81.3,1.7,74.1,7509,35.4,1.7,4.4,95,
Malaysia,73,80,13.90134529,50.48053,,3.1,76,28176,,3.6,8.7,29,9.3
Greece,69,81,18.66666667,0,,0.1,82.1,25141,19.5,1.5,6.1,3,8.7
Indonesia,74,82,19.82142857,49.17247,95.1,1.9,71.5,11606,20.1,2.2,5.2,177,
